County,Sub_County,Zone,School,No_of_Devices,FID
KITUI   COUNTY,MIGWANI SUB COUNTY,MIGWANI,KAMBEMBE,11,6361
KITUI   COUNTY,TSEIKURU,MASYUNGWA,KWA NGONDI,37,6362
KITUI   COUNTY,KYUSO SUB COUNTY,KYUSO,KASYATHYU,32,6363
KITUI   COUNTY,KYUSO SUB COUNTY,KYUSO,ITULU,57,6364
KITUI   COUNTY,MUMONI,NGUUKU,KASIONI,33,6365
KITUI   COUNTY,LOWER YATTA SUB COUNTY,KANYANGI,KALULINI,54,6366
KITUI   COUNTY,LOWER YATTA SUB COUNTY,KANYANGI,KAVOO,35,6367
KITUI   COUNTY,MUMONI,NGUUKU,SYOMUKII,24,6368
KITUI   COUNTY,KYUSO SUB COUNTY,KYUSO,MBUI,41,6369
KITUI   COUNTY,LOWER YATTA SUB COUNTY,KANYANGI,SYOMUNYU,38,6370
KITUI   COUNTY,MUMONI,NGUUKU,MUTIUNI,13,6371
KITUI   COUNTY,KYUSO SUB COUNTY,KYUSO,NZAALANI,42,6372
KITUI   COUNTY,LOWER YATTA SUB COUNTY,KANYANGI,KISAUNI,31,6373
KITUI   COUNTY,MUTITU,MUTITO,KAAYO,47,6374
KITUI   COUNTY,KYUSO SUB COUNTY,KYUSO,MARISI,24,6375
KITUI   COUNTY,MUTITU,MUTITO,KAKAME,31,6376
KITUI   COUNTY,MUTOMO SUB COUNTY,IKANGA,NDUUNDUNE,53,6377
KITUI   COUNTY,LOWER YATTA SUB COUNTY,KANYANGI,KAONDU,24,6378
KITUI   COUNTY,LOWER YATTA SUB COUNTY,KANYANGI,SYOMAKANDA,31,6379
KITUI   COUNTY,MUTOMO SUB COUNTY,IKANGA,NZALANI,71,6380
KITUI   COUNTY,MUTITU,MUTITO,MATIA,30,6381
KITUI   COUNTY,MUTITU,MUTITO,YULAMBU,19,6382
KITUI   COUNTY,MUTOMO SUB COUNTY,IKANGA,KYAWANGU,25,6383
KITUI   COUNTY,LOWER YATTA SUB COUNTY,KANYANGI,KITHIIANI,21,6384
KITUI   COUNTY,LOWER YATTA SUB COUNTY,KANYANGI,KYUNDUANI,25,6385
KITUI   COUNTY,MUTOMO SUB COUNTY,IKANGA,KATHITHU,48,6386
KITUI   COUNTY,MUTITU,MUTITO,NDUUNI,23,6387
KITUI   COUNTY,MUTITU,MUTITO,KAVUTEI,17,6388
KITUI   COUNTY,MUTOMO SUB COUNTY,IKANGA,ST. PETERS,26,6389
KITUI   COUNTY,MUTOMO SUB COUNTY,IKANGA,MATUA,25,6390
KITUI   COUNTY,MUTITU,MWITIKA,MWITIKA,39,6391
KITUI   COUNTY,MUTOMO SUB COUNTY,IKANGA,ILUSYA,30,6392
KITUI   COUNTY,MUTITU,MWITIKA,KATIKONI,16,6393
KITUI   COUNTY,MUTOMO SUB COUNTY,IKANGA,TUVILA,37,6394
KITUI   COUNTY,MUTOMO SUB COUNTY,IKANGA,MAWENI,13,6395
KITUI   COUNTY,MUTOMO SUB COUNTY,IKANGA,KASOYANI,26,6396
KITUI   COUNTY,MUTOMO SUB COUNTY,IKANGA,KYULUNI,21,6397
KITUI   COUNTY,MUTOMO SUB COUNTY,IKANGA,KANGULI,17,6398
KITUI   COUNTY,MUTOMO SUB COUNTY,IKANGA,MUTYAUWA,15,6399
KITUI   COUNTY,MUTOMO SUB COUNTY,IKANGA,YUMBILILE,12,6400
KITUI   COUNTY,MIGWANI,NZELUNI,MUNGALU,27,6401
KITUI   COUNTY,MIGWANI,NZELUNI,KANYUUNI,39,6402
KITUI   COUNTY,MIGWANI,NZELUNI,KWA KYELU,22,6403
KITUI   COUNTY,MWINGI CENTRAL,MBONDONI,KAMUNYU,50,6404
KITUI   COUNTY,MIGWANI,NZELUNI,NZELUNI,27,6405
KITUI   COUNTY,MWINGI CENTRAL,MUMBUNI-M,ITHENGELI,53,6406
KITUI   COUNTY,MIGWANI,NZELUNI,KAMUTUNGU,15,6407
KWALE  COUNTY,KWALE ,TSIMBATIWI ZONE,ChitsanzePri,19,6408
KITUI   COUNTY,IKUTHA,ATHI,KITENZELE,10,6409
KITUI   COUNTY,IKUTHA,ATHI,MIKUYUNI,12,6410
KWALE  COUNTY,KINANGO ,KINANGO ZONE,St. Josephs,87,6411
KWALE  COUNTY,MSAMBWENI ,MSAMBWENI ZONE,Jomo Kenyatta,111,6412
KITUI   COUNTY,IKUTHA,ATHI,KWA MUSINGI,13,6413
KWALE  COUNTY,KINANGO ,GANDINI ZONE,BOFU,100,6414
KWALE  COUNTY,KINANGO ,GANDINI ZONE,GANDINI CENTRAL,70,6415
KITUI   COUNTY,IKUTHA,ATHI,WIITU,12,6416
KWALE  COUNTY,KINANGO ,GANDINI ZONE,LUTSANGANI,99,6417
KITUI   COUNTY,IKUTHA,ATHI,KAMUVALA,9,6418
KWALE  COUNTY,KINANGO ,GANDINI ZONE,YAPHA,63,6419
KITUI   COUNTY,IKUTHA,ATHI,MUUANI,9,6420
KWALE  COUNTY,KINANGO ,GANDINI ZONE,GONA,62,6421
KITUI   COUNTY,IKUTHA,IKUTHA,KASARANI,21,6422
KWALE  COUNTY,KINANGO ,KINANGO ZONE,MBULUNI,103,6423
KITUI   COUNTY,IKUTHA,IKUTHA,KYAKAVI,11,6424
KWALE  COUNTY,KINANGO ,MAZERAS ZONE,GWASHENI,143,6425
KITUI   COUNTY,IKUTHA,KANZIK0,KANZIKO,20,6426
KWALE  COUNTY,KINANGO ,MAZERAS ZONE,MIGUNENI,95,6427
KITUI   COUNTY,KATULANI,MULANGO,KITHAMBANGII,22,6428
KWALE  COUNTY,KINANGO ,MAZERAS ZONE,MAZERAS,98,6429
KITUI   COUNTY,KATULANI,MULANGO,KATHUKINI,27,6430
KWALE  COUNTY,KINANGO ,MAZERAS ZONE,MWABILA,72,6431
KITUI   COUNTY,KATULANI,MULANGO,KITUNDU,26,6432
KWALE  COUNTY,KINANGO ,MAZERAS ZONE,MWACHE,76,6433
KITUI   COUNTY,KISASI  SUB-COUNTY,KISASI,UTAWALA,57,6434
KITUI   COUNTY,MWINGI EAST,MUI,MUI,30,6435
KWALE  COUNTY,KINANGO ,MAZERAS ZONE,MAWEU,74,6436
KITUI   COUNTY,KISASI  SUB-COUNTY,KISASI,NGILUNI,32,6437
KWALE  COUNTY,KINANGO ,KINANGO ZONE,KASAGENI,75,6438
KITUI   COUNTY,LOWER YATTA,KANYANGI,KWAKITUNGU,7,6439
KITUI   COUNTY,MWINGI EAST,MUI,MUNYUUNI,45,6440
KWALE  COUNTY,KINANGO ,KINANGO ZONE,KINANGO,68,6441
KITUI   COUNTY,MIGWANI,MIGWANI,KASAVINI,29,6442
KITUI   COUNTY,MWINGI EAST,MUI,NDUVANI,42,6443
KWALE  COUNTY,KINANGO ,KINANGO ZONE,NG'ONZINI,66,6444
KITUI   COUNTY,MIGWANI,THITANI,KAMUTEKEO,10,6445
KWALE  COUNTY,KINANGO ,KINANGO ZONE,MAZOLA,90,6446
KITUI   COUNTY,MWINGI EAST,MUI,KIVYUNI,20,6447
KITUI   COUNTY,MIGWANI,THITANI,MULULINI,16,6448
KWALE  COUNTY,KINANGO ,KINANGO ZONE,BANG'A,57,6449
KITUI   COUNTY,MIGWANI,THOKOA,MUUKUNI,32,6450
KWALE  COUNTY,KINANGO ,KINANGO ZONE,AMANI,68,6451
KITUI   COUNTY,MWINGI EAST,MUI,KATHUMO,25,6452
KITUI   COUNTY,MIGWANI,THOKOA,KATHITA,31,6453
KWALE  COUNTY,KINANGO ,KINANGO ZONE,BISHOP KALU,68,6454
KITUI   COUNTY,MWINGI EAST,MUI,SYUMIKU,19,6455
KWALE  COUNTY,KINANGO ,KINANGO ZONE,MALUNGONI,42,6456
KITUI   COUNTY,MUMONI,KAKUYU,NGOMBENI,24,6457
KWALE  COUNTY,KINANGO,MAZERAS,MAVIRIVIRINI,53,6458
KITUI   COUNTY,MUMONI,KATSE,KALIWA,36,6459
KITUI   COUNTY,MWINGI EAST,MUI,MUSOKANI,17,6460
KWALE  COUNTY,KINANGO,NDAVAYA,MWACHANDA,118,6461
KITUI   COUNTY,MUMONI,NGUUKU,MUSOSYA,33,6462
KWALE  COUNTY,KINANGO,NDAVAYA,MWALUKOMBE,130,6463
KITUI   COUNTY,MUMONI,NGUUKU,KAISINGA,26,6464
KITUI   COUNTY,MWINGI EAST,MUI,KANGILWA,15,6465
KWALE  COUNTY,KINANGO,NDAVAYA,GULANZE,90,6466
KITUI   COUNTY,MUMONI,NGUUKU,KATHIANI,29,6467
KITUI   COUNTY,MWINGI EAST,MUI,YUMBU,68,6468
KWALE  COUNTY,KINANGO,NDAVAYA,NDAVAYA,80,6469
KITUI   COUNTY,MUMONI,KAKUYU,NKARAKU,15,6470
KWALE  COUNTY,KINANGO,NDAVAYA,VYOGATO,45,6471
KITUI   COUNTY,MUMONI,KAKUYU,KAMAGARA,8,6472
KWALE  COUNTY,KINANGO,NDAVAYA,MBITA,62,6473
KITUI   COUNTY,MUMONI,KAKUYU,ITURAMURA,14,6474
KITUI   COUNTY,MWINGI EAST,MUI,NZIA,25,6475
KWALE  COUNTY,KINANGO,SAMBURU,TARU,119,6476
KITUI   COUNTY,MUMONI,KATSE,MPUKU,24,6477
KWALE  COUNTY,KINANGO,SAMBURU,KWAKADOGO,114,6478
KITUI   COUNTY,MUMONI,NGUUKU,CIAITUNGU,28,6479
KITUI   COUNTY,MUTITU,MWITIKA,MATUNDU,32,6480
KITUI   COUNTY,MUTITU,MWITIKA,KALALANI,38,6481
KWALE  COUNTY,KINANGO,SAMBURU,MWANGEA,128,6482
KITUI   COUNTY,MUMONI,THARAKA,GATORONI,28,6483
KITUI   COUNTY,MUTOMO,IKANGA,KAWELU,20,6484
KWALE  COUNTY,KINANGO,SAMBURU,EGU,67,6485
KITUI   COUNTY,MUMONI,THARAKA,KARUNDU,17,6486
KWALE  COUNTY,KINANGO,SAMBURU,MAJI YA CHUMVI,58,6487
KITUI   COUNTY,MUTOMO,VOO,KINAKONI,45,6488
KITUI   COUNTY,MUMONI,THARAKA,MIRAMBA IKAMBA,22,6489
KWALE  COUNTY,KINANGO,SAMBURU,VINYUNDUNI,74,6490
KWALE  COUNTY,KINANGO,SAMBURU,SILALONI,68,6491
KITUI   COUNTY,KATULANI,KATULANI,KIKUMINI,43,6492
KITUI   COUNTY,MUTOMO,VOO,MUNYUNI,55,6493
KWALE  COUNTY,KINANGO,SAMBURU,CHENGONI,128,6494
KITUI   COUNTY,KATULANI,MULANGO,MANOONI,13,6495
KWALE  COUNTY,KINANGO,SAMBURU,MULUNGUNI,95,6496
KITUI   COUNTY,KISASI  SUB-COUNTY,KISASI,KALATINE,15,6497
KITUI   COUNTY,NZAMBANI  SUB-COUNTY,NZAMBANI,KWA-AMUTEI,32,6498
KWALE  COUNTY,KINANGO,SAMBURU,JAFFREY,51,6499
KITUI   COUNTY,KISASI  SUB-COUNTY,MBITINI,MISUUNI,45,6500
KWALE  COUNTY,KINANGO,MKONGANI,MKOMBA,79,6501
KITUI   COUNTY,KITUI CENTRAL,KALUNDU,MUSLIM,100,6502
KITUI   COUNTY,NZAMBANI  SUB-COUNTY,NZAMBANI,MUTULUNI,20,6503
KWALE  COUNTY,KINANGO,MKONGANI,MAPONDA,95,6504
KITUI   COUNTY,KITUI CENTRAL,KYANGWITHYA,MBUSYANI,48,6505
KITUI   COUNTY,NZAMBANI  SUB-COUNTY,NZAMBANI,NGENGI,9,6506
KWALE  COUNTY,KINANGO,MKONGANI,NZORA,78,6507
KITUI   COUNTY,MUMONI,KAKUYU,GACIGONGO,12,6508
KWALE  COUNTY,KINANGO,MKONGANI,SIMANYA,50,6509
KITUI   COUNTY,MUMONI,KAKUYU,IRIA ITUNE,28,6510
KITUI   COUNTY,NZAMBANI  SUB-COUNTY,NZAMBANI,MAVIANI,27,6511
KWALE  COUNTY,MSAMBWENI,KIKONENI,MWANGUDA,136,6512
KITUI   COUNTY,MUMONI,KATSE,KATAMA,48,6513
KITUI   COUNTY,MUMONI,THARAKA,KARIINI,48,6514
KWALE  COUNTY,MSAMBWENI,KIKONENI,GUGU,79,6515
KITUI   COUNTY,NZAMBANI  SUB-COUNTY,NZAMBANI,KANGUU,31,6516
KITUI   COUNTY,MUMONI,THARAKA,THARAKA,34,6517
KWALE  COUNTY,MSAMBWENI,KIKONENI,VWIVWINI,125,6518
KITUI   COUNTY,NZAMBANI  SUB-COUNTY,NZAMBANI,KITHO,17,6519
KITUI   COUNTY,MUMONI,THARAKA,GAKOMBE,140,6520
KWALE  COUNTY,MSAMBWENI,KIKONENI,MSHIU,75,6521
KITUI   COUNTY,NZAMBANI  SUB-COUNTY,NZAMBANI,KILONZO,19,6522
KITUI   COUNTY,MUTITU,MISS ZONE/KITUI,MUKUNGO,6,6523
KITUI   COUNTY,MUTITU,MUTITO,KILANGA,32,6524
KITUI   COUNTY,MUTITU,MUTITO,MUSUKINI,35,6525
KITUI   COUNTY,MUTITU,MUTITO,MIKUYUNI,38,6526
KITUI   COUNTY,MUTITU,MUTITO,KITIVO,15,6527
KITUI   COUNTY,MUTITU,MUTITO,YOONYE,58,6528
KITUI   COUNTY,MUTITU,MUTITO,KYAIMU,16,6529
KITUI   COUNTY,MUTITU,ZOMBE,MALATANI,30,6530
KITUI   COUNTY,MUTITU,ZOMBE,KANGULI,11,6531
KITUI   COUNTY,MUTITU,ZOMBE,KABATI,30,6532
KITUI   COUNTY,MUTITU,ZOMBE,NZILANI,38,6533
KITUI   COUNTY,MUTITU,ENDAU,TWAMBUI,45,6534
KITUI   COUNTY,MUTITU,ENDAU,KALUNGU,32,6535
KITUI   COUNTY,MUTITU,ENDAU,KOI,25,6536
KITUI   COUNTY,MUTITU,MISS ZONE/KITUI,KWA-NZOU,14,6537
KITUI   COUNTY,MUTOMO,IKANGA,WINDUNDU,34,6538
KITUI   COUNTY,MUTOMO,IKANGA,TUTU,30,6539
KITUI   COUNTY,MUTOMO,IKANGA,KALILUNI,18,6540
KITUI   COUNTY,MUTOMO,IKANGA,MUSIKIO,27,6541
KITUI   COUNTY,MWINGI CENTRAL,MBONDONI,ISEE,26,6542
KITUI   COUNTY,MWINGI CENTRAL,MBONDONI,TULIMANI,36,6543
KITUI   COUNTY,MWINGI CENTRAL,MBONDONI,MBONDONI,43,6544
KITUI   COUNTY,MWINGI CENTRAL,MWINGI,WIMBONDO,25,6545
KITUI   COUNTY,MWINGI CENTRAL,MWINGI,MULILUNI,22,6546
KITUI   COUNTY,MWINGI CENTRAL,MWINGI,KATANGA,16,6547
KITUI   COUNTY,MWINGI CENTRAL,MWINGI,NDIUNI,33,6548
KITUI   COUNTY,MWINGI CENTRAL,WAITA,MUUNGUU,31,6549
KITUI   COUNTY,MWINGI CENTRAL,WAITA/CENTRAL,KARUNGA,49,6550
KITUI   COUNTY,MUTOMO  SUB-COUNTY,IKANGA,KANGIMA,27,6551
KITUI   COUNTY,MUMONI,THARAKA,GATUNDU,33,6552
KITUI   COUNTY,IKUTHA,ATHI,UMOJA,20,6553
KITUI   COUNTY,MUTITU,MWITIKA,KALINGA,52,6554
KITUI   COUNTY,MUTITU,MWITIKA,NGELANI,7,6555
KITUI   COUNTY,MUMONI,THARAKA,KAMATUMO,31,6556
KITUI   COUNTY,IKUTHA,ATHI,KAMUNYUNI,26,6557
KITUI   COUNTY,MUTITU,MWITIKA,NZOOKONI,22,6558
KITUI   COUNTY,MWINGI EAST ,NUU,NGANGANI,44,6559
KITUI   COUNTY,MUTOMO  SUB-COUNTY,MUTOMO,MUTI,15,6560
KITUI   COUNTY,IKUTHA,ATHI,ATHI,29,6561
KITUI   COUNTY,MUMONI,THARAKA,KONYU,36,6562
KITUI   COUNTY,MUTOMO  SUB-COUNTY,MUTOMO,MUTOMO,46,6563
KITUI   COUNTY,MWINGI EAST ,NUU,WINGEMI,34,6564
KITUI   COUNTY,MUTITU,MWITIKA,INYOOKONI,22,6565
KITUI   COUNTY,LOWER YATTA SUB COUNTY,YATTA,KYOSINI,50,6566
KITUI   COUNTY,KISASI  SUB-COUNTY,KISASI,KENZE,56,6567
KITUI   COUNTY,KITUI CENTRAL,KYANGWITHYA,KILUNGU,11,6568
KITUI   COUNTY,LOWER YATTA SUB COUNTY,YATTA,KAMANYI,23,6569
KITUI   COUNTY,MUTOMO  SUB-COUNTY,MUTOMO,MUVUYUNI,20,6570
KITUI   COUNTY,MWINGI EAST ,NUU,IMWAMBA,29,6571
KITUI   COUNTY,MWINGI CENTRAL,WAITA,MURWANA,55,6572
KITUI   COUNTY,KITUI CENTRAL,KYANGWITHYA,NGUMBWA,35,6573
KITUI   COUNTY,LOWER YATTA SUB COUNTY,YATTA,KYAINYA,31,6574
KITUI   COUNTY,MUTOMO  SUB-COUNTY,MUTOMO,MWALA,30,6575
KITUI   COUNTY,MWINGI EAST ,NUU,TUVAANI,48,6576
KITUI   COUNTY,MWINGI CENTRAL,WAITA,KALANGE,37,6577
KITUI   COUNTY,MWINGI EAST SUB COUNTY,NGUNI,KALULU,38,6578
KITUI   COUNTY,MWINGI EAST ,NUU,KAVUTI P.S,26,6579
KITUI   COUNTY,MUTOMO  SUB-COUNTY,MUTOMO,KILISA,25,6580
KITUI   COUNTY,LOWER YATTA SUB COUNTY,YATTA,NGOVU,20,6581
KITUI   COUNTY,KITUI CENTRAL,MIAMBANI,MIAMBANI,48,6582
KITUI   COUNTY,MWINGI EAST SUB COUNTY,NGUNI,NGOONI,31,6583
KITUI   COUNTY,MWINGI EAST ,NUU,WANGWIU,20,6584
KITUI   COUNTY,MUTOMO  SUB-COUNTY,MUTOMO,UAI,23,6585
KITUI   COUNTY,LOWER YATTA SUB COUNTY,YATTA,KALIMA,21,6586
KITUI   COUNTY,KITUI CENTRAL,MIAMBANI,KAMANDIO D.E.B,47,6587
KITUI   COUNTY,MWINGI EAST SUB COUNTY,NGUNI,SOSOMA,22,6588
KITUI   COUNTY,MWINGI EAST ,NUU,KALWILAA,21,6589
KITUI   COUNTY,MUTOMO  SUB-COUNTY,MUTOMO,IMWANGE,26,6590
KITUI   COUNTY,IKUTHA,ATHI,MUAMBANI,34,6591
KITUI   COUNTY,KITUI CENTRAL,MIAMBANI,KAVUVUU,17,6592
KITUI   COUNTY,MWINGI EAST SUB COUNTY,NGUNI,ITUNGALI,13,6593
KITUI   COUNTY,MWINGI EAST ,NUU,KILIKU,20,6594
KITUI   COUNTY,MUTOMO  SUB-COUNTY,MUTOMO,KAANGWA,41,6595
KITUI   COUNTY,IKUTHA,ATHI,KIUANI,18,6596
KITUI   COUNTY,MUMONI,KATSE,KATSE,30,6597
KITUI   COUNTY,IKUTHA,ATHI,TIVA,10,6598
KITUI   COUNTY,MUMONI,KATSE,NYAMANZEI,35,6599
KITUI   COUNTY,MWINGI EAST ,NUU,MITAAVO,20,6600
KITUI   COUNTY,MUTOMO  SUB-COUNTY,MUTOMO,WINGETHI,9,6601
KITUI   COUNTY,MWINGI EAST SUB COUNTY,NUU,KAKUNGUU,20,6602
KITUI   COUNTY,IKUTHA,ATHI,NGOSENI,7,6603
KITUI   COUNTY,MWINGI EAST SUB COUNTY,NUU,NGUUNI,25,6604
KITUI   COUNTY,MWINGI EAST,NGUNI,MUSOVO,80,6605
KITUI   COUNTY,MWINGI EAST ,NUU,MBIA,10,6606
KITUI   COUNTY,MUMONI,KATSE,KANYUNGU,16,6607
KITUI   COUNTY,TSEIKURU,MASYUNGWA,CIOKEREKE,31,6608
KITUI   COUNTY,MUMONI,THARAKA,KWAMWERINI,11,6609
KITUI   COUNTY,MWINGI EAST,NGUNI,MULINDE,72,6610
KITUI   COUNTY,MWINGI EAST SUB COUNTY,NUU,KYATUNE,12,6611
KITUI   COUNTY,IKUTHA,ATHI,MAKUE,8,6612
KITUI   COUNTY,IKUTHA,ATHI,NDONDONI,15,6613
KITUI   COUNTY,NZAMBANI,NZAMBANI,KIONGWE,33,6614
KITUI   COUNTY,MWINGI EAST,NGUNI,MWASUMA,44,6615
KITUI   COUNTY,KITUI CENTRAL,KALUNDU,MAKUTANO,31,6616
KITUI   COUNTY,TSEIKURU,MASYUNGWA,KAVUTONI,11,6617
KITUI   COUNTY,IKUTHA,ATHI,TISYA,14,6618
KITUI   COUNTY,TSEIKURU,MUSAVANI,KALUMU,57,6619
KITUI   COUNTY,TSEIKURU,MUSAVANI,USUENI,60,6620
KITUI   COUNTY,KITUI CENTRAL,KYANGWITHYA,NDUUMONI,29,6621
KITUI   COUNTY,MWINGI EAST,NGUNI,NGUNI,42,6622
KITUI   COUNTY,LOWER YATTA SUB COUNTY,KWA-VONZA,TANGANYIKA,36,6623
KITUI   COUNTY,TSEIKURU,MUSAVANI,KAKUNGUU,33,6624
KITUI   COUNTY,TSEIKURU,MUSAVANI,SIVETA,57,6625
KITUI   COUNTY,TSEIKURU,MUSAVANI,ITUNGUNI,18,6626
KITUI   COUNTY,LOWER YATTA SUB COUNTY,KWA-VONZA,ST. MICHAEL KATOTHYA,24,6627
KITUI   COUNTY,MWINGI EAST,NGUNI,MANDOVE,36,6628
KITUI   COUNTY,TSEIKURU,MUSAVANI,KITHAYONI,45,6629
KITUI   COUNTY,KITUI CENTRAL,KYANGWITHYA,IMALE,37,6630
KITUI   COUNTY,TSEIKURU,TSEIKURU,KALIMBUI,38,6631
KITUI   COUNTY,TSEIKURU,MUSAVANI,KAMALI,29,6632
KITUI   COUNTY,KITUI WEST,KAUWI,KALUNI,27,6633
KITUI   COUNTY,MWINGI EAST,NGUNI,SYUNOO,37,6634
KITUI   COUNTY,LOWER YATTA SUB COUNTY,KWA-VONZA,NGAMYONE,13,6635
KITUI   COUNTY,TSEIKURU,TSEIKURU,KATHUNGU,30,6636
KITUI   COUNTY,TSEIKURU,TSEIKURU,KAIVIRYA,20,6637
KITUI   COUNTY,MWINGI EAST,NGUNI,NZIKANI,34,6638
KITUI   COUNTY,KITUI WEST,KAUWI,KYONDONI,33,6639
KITUI   COUNTY,LOWER YATTA SUB COUNTY,KWA-VONZA,KIVUNGA,8,6640
KITUI   COUNTY,TSEIKURU,TSEIKURU,ILIONI,24,6641
KITUI   COUNTY,TSEIKURU,TSEIKURU,KANGARAI,17,6642
KITUI   COUNTY,KITUI WEST,TULIA,KAKEANI,23,6643
KITUI   COUNTY,MWINGI EAST,NGUNI,KYALAMOKO,24,6644
KITUI   COUNTY,LOWER YATTA SUB COUNTY,YATTA,NZEVENI,35,6645
KITUI   COUNTY,TSEIKURU,TSEIKURU,NDITIMI,20,6646
KITUI   COUNTY,KYUSO,NGOMENI,MITAMISYI,54,6647
KITUI   COUNTY,MATINYANI,KATHIVO,SYOKITHUMBI,24,6648
KITUI   COUNTY,KYUSO,NGOMENI,ILALU,38,6649
KITUI   COUNTY,TSEIKURU,TSEIKURU,KASYATHONI,12,6650
KITUI   COUNTY,MWINGI EAST,NGUNI,NZENGENI,31,6651
KITUI   COUNTY,KITUI WEST,TULIA,MBUINI,39,6652
KITUI   COUNTY,MATINYANI,KATHIVO,A.I.C MAKOLO,26,6653
KITUI   COUNTY,KYUSO,NGOMENI,MUTAIRU,64,6654
KITUI   COUNTY,MUTITU,MWITIKA,KYANGENI,30,6655
KITUI   COUNTY,KITUI WEST,TULIA,KYAMUTIMBA,17,6656
KITUI   COUNTY,TSEIKURU  SUB-COUNTY,MASYUNGWA,ITHOKA,59,6657
KITUI   COUNTY,MATINYANI,KATHIVO,KITHUIANI,20,6658
KITUI   COUNTY,KYUSO,NGOMENI,IKAAYUNI,58,6659
KITUI   COUNTY,MUMONI,KAKUYU,KASYALANI,42,6660
KITUI   COUNTY,MUTITU,MWITIKA,MASIKALINI,49,6661
KITUI   COUNTY,TSEIKURU  SUB-COUNTY,MASYUNGWA,KIKULI,20,6662
KITUI   COUNTY,KYUSO,NGOMENI,KALWA,33,6663
KITUI   COUNTY,MATINYANI,MATINYANI,KYAMBUSYA,36,6664
KITUI   COUNTY,MUMONI,KAKUYU,NDOO,16,6665
KITUI   COUNTY,MUTITU,MWITIKA,IKYATINE D.E.B,50,6666
KITUI   COUNTY,KYUSO,NGOMENI,KAVAANI,52,6667
KITUI   COUNTY,LOWER YATTA,KANYANGI,KITOONI,38,6668
KITUI   COUNTY,TSEIKURU  SUB-COUNTY,MASYUNGWA,MUKAMENI,14,6669
KITUI   COUNTY,MUMONI,KAKUYU,ITHINGILI,32,6670
KITUI   COUNTY,MUTITU,MWITIKA,KINANIE,32,6671
KITUI   COUNTY,LOWER YATTA,KANYANGI,KANYONGONYO,31,6672
KITUI   COUNTY,KYUSO,NGOMENI,KAMUSILIU,43,6673
KITUI   COUNTY,TSEIKURU  SUB-COUNTY,TSEIKURU,KWA MULUNGU,17,6674
KITUI   COUNTY,MUMONI,KAKUYU,NGAANI,19,6675
KITUI   COUNTY,MUTITU,MWITIKA,IMBUVUU,34,6676
KITUI   COUNTY,LOWER YATTA,KANYANGI,MAITO,26,6677
KITUI   COUNTY,MUMONI,KAKUYU,NGAKONE,15,6678
KITUI   COUNTY,TSEIKURU  SUB-COUNTY,TSEIKURU,KINGITINI,14,6679
KITUI   COUNTY,KYUSO,NGOMENI,NDUNGUNI,28,6680
KITUI   COUNTY,MUTITU,MWITIKA,NDULIKYE,34,6681
KITUI   COUNTY,LOWER YATTA,KANYANGI,ITULANI,36,6682
KITUI   COUNTY,MUTITU,MWITIKA,NDITIME,26,6683
KITUI   COUNTY,KYUSO,NGOMENI,MALAWA,30,6684
KITUI   COUNTY,MUTOMO  SUB-COUNTY,IKANGA,NDATANI,31,6685
KITUI   COUNTY,MUMONI,KAKUYU,KITUNGI,10,6686
KITUI   COUNTY,LOWER YATTA,KANYANGI,MBEETWANI,60,6687
KITUI   COUNTY,MUTITU,MWITIKA,NGUUNI,33,6688
KITUI   COUNTY,KYUSO,NGOMENI,KAANGO,7,6689
KITUI   COUNTY,MUTOMO  SUB-COUNTY,MUTHA,MAKONGONI,12,6690
KITUI   COUNTY,LOWER YATTA,KANYANGI,MWANGENI,35,6691
KITUI   COUNTY,MUMONI,KAKUYU,THUA,26,6692
KITUI   COUNTY,MUTITU,MWITIKA,KANDONGO,33,6693
KITUI   COUNTY,NZAMBANI,NZAMBANI,KWA-WEWA,59,6694
KITUI   COUNTY,MUTOMO  SUB-COUNTY,MUTOMO,MALILI,44,6695
KITUI   COUNTY,MUMONI,KAKUYU,NGUNGANI,37,6696
KITUI   COUNTY,MATINYANI,KYAANI,KYENI,49,6697
KITUI   COUNTY,MUTITU,MWITIKA,YAMANZA,15,6698
KITUI   COUNTY,NZAMBANI,NZAMBANI,KINZENI,24,6699
KITUI   COUNTY,MUTOMO  SUB-COUNTY,MUTOMO,MUVUKO,35,6700
KITUI   COUNTY,MUMONI,KATSE,TYAA KAMUTHALE,32,6701
KITUI   COUNTY,MATINYANI,KYAANI,KITUMBI,19,6702
KITUI   COUNTY,MWINGI EAST SUB COUNTY,NGUNI,KIISU,35,6703
KITUI   COUNTY,NZAMBANI,NZAMBANI,HON. KIEMA,24,6704
KITUI   COUNTY,MUTOMO  SUB-COUNTY,MUTOMO,NDIINI,50,6705
KITUI   COUNTY,KYUSO,KANDWIA,ABC KASEVI,22,6706
KITUI   COUNTY,MATINYANI,KYAANI,KATHUMA,51,6707
KITUI   COUNTY,MWINGI EAST SUB COUNTY,NUU,NGIIENI,27,6708
KITUI   COUNTY,NZAMBANI,NZAMBANI,KWA-AOMBE,12,6709
KITUI   COUNTY,MUTOMO  SUB-COUNTY,MUTOMO,SYUNGUNI,25,6710
KITUI   COUNTY,KYUSO,KANDWIA,KWA NGUNDU,22,6711
KITUI   COUNTY,MIGWANI,MIGWANI,MAKENGEKANI,38,6712
KITUI   COUNTY,NZAMBANI,NZAMBANI,KALILUNI,14,6713
